repo_name,repo_url,total_loc,code_loc,total_files,source_files,test_files,functions,classes,avg_complexity,max_complexity,duplication_percentage,test_file_ratio,dependency_count,documentation_score,security_findings_count,architecture_confidence,total_commits,overall_score,maturity_label
psf/requests,https://github.com/psf/requests,12057,9066,130,22,15,711,96,2.0,21,5.05,0.0,116,73.12,7,40.0,1,71.75,Intermediate
Nirukshith/Filmism,https://github.com/Nirukshith/Filmism,4003,3446,53,31,0,0,0,2.54,11,20.57,0.0,6067,28.35,0,92.0,1,58.89,Intermediate
nirsanth23/fuelpass-management-system,https://github.com/nirsanth23/fuelpass-management-system,8481,7672,52,41,0,0,0,2.27,43,19.88,0.0,54,26.08,0,84.0,1,58.82,Intermediate
bottlepy/bottle,https://github.com/bottlepy/bottle,9260,7510,219,2,29,946,128,1.99,32,2.49,0.0,62,65.24,4,65.0,1,78.66,Intermediate
mde/ejs,https://github.com/mde/ejs,4179,3133,124,12,4,0,0,1.6,21,5.01,0.0,63,70.0,15,65.0,1,76.84,Intermediate
visionmedia/debug,https://github.com/visionmedia/debug,1074,700,13,7,0,0,0,1.81,9,0.0,0.0,64,65.0,0,40.0,1,69.5,Intermediate
chjj/marked,https://github.com/chjj/marked,29649,25925,476,22,16,0,0,2.16,55,4.7,0.0,8968,73.45,59,40.0,1,66.13,Intermediate
int1/repo1,https://github.com/int1/repo1,5000,4000,50,15,10,50,5,1.8,25,8.0,0.2,100,65.0,2,50.0,1,68.0,Intermediate
int2/repo2,https://github.com/int2/repo2,6000,4800,60,18,12,60,6,1.9,28,7.5,0.2,120,68.0,3,52.0,1,70.0,Intermediate
int3/repo3,https://github.com/int3/repo3,7000,5500,70,20,14,70,7,1.7,24,7.0,0.2,140,70.0,2,55.0,1,72.0,Intermediate
int5/repo5,https://github.com/int5/repo5,9000,7000,90,25,18,90,9,1.5,20,6.0,0.2,180,75.0,2,60.0,1,74.0,Intermediate
int7/repo7,https://github.com/int7/repo7,11000,8500,110,30,22,110,11,1.3,16,5.0,0.2,220,80.0,0,65.0,1,76.0,Intermediate
chalk/chalk,https://github.com/chalk/chalk,1361,948,29,6,8,0,0,1.32,8,1.27,0.0,92,65.0,0,40.0,1,79.48,Advanced
sindresorhus/is,https://github.com/sindresorhus/is,5479,4447,19,3,2,0,0,1.56,196,0.54,0.0,76,52.49,0,40.0,1,77.54,Advanced
pypa/sampleproject,https://github.com/pypa/sampleproject,77,37,12,3,2,6,1,1.0,1,0.0,0.0,42,50.0,0,40.0,1,81.5,Advanced
adv1/repo1,https://github.com/adv1/repo1,15000,12000,150,40,45,200,20,1.1,10,0.5,0.3,300,90.0,0,85.0,1,90.0,Advanced
adv2/repo2,https://github.com/adv2/repo2,16000,12800,160,42,48,220,22,1.1,10,0.4,0.3,320,91.0,0,86.0,1,91.0,Advanced
adv3/repo3,https://github.com/adv3/repo3,17000,13600,170,45,50,240,24,1.0,9,0.3,0.3,340,92.0,0,87.0,1,92.0,Advanced
adv4/repo4,https://github.com/adv4/repo4,18000,14400,180,48,55,260,26,1.0,9,0.3,0.3,360,93.0,0,88.0,1,93.0,Advanced
adv5/repo5,https://github.com/adv5/repo5,19000,15200,190,50,60,280,28,1.0,8,0.2,0.3,380,94.0,0,89.0,1,94.0,Advanced
adv6/repo6,https://github.com/adv6/repo6,20000,16000,200,55,65,300,30,1.0,8,0.2,0.3,400,95.0,0,90.0,1,95.0,Advanced
adv7/repo7,https://github.com/adv7/repo7,21000,16800,210,58,70,320,32,1.0,7,0.1,0.3,420,96.0,0,91.0,1,96.0,Advanced
adv8/repo8,https://github.com/adv8/repo8,22000,17600,220,60,75,340,34,1.0,7,0.1,0.3,440,97.0,0,92.0,1,97.0,Advanced
adv9/repo9,https://github.com/adv9/repo9,23000,18400,230,65,80,360,36,1.0,6,0.1,0.3,460,98.0,0,93.0,1,98.0,Advanced
adv10/repo10,https://github.com/adv10/repo10,24000,19200,240,68,85,380,38,1.0,6,0.0,0.3,480,99.0,0,94.0,1,99.0,Advanced
adv11/repo11,https://github.com/adv11/repo11,25000,20000,250,70,90,400,40,1.0,5,0.0,0.3,500,99.0,0,95.0,1,99.5,Advanced
adv12/repo12,https://github.com/adv12/repo12,26000,20800,260,75,95,420,42,1.0,5,0.0,0.3,520,99.0,0,95.0,1,99.5,Advanced
adv13/repo13,https://github.com/adv13/repo13,27000,21600,270,78,100,440,44,1.0,4,0.0,0.3,540,99.0,0,95.0,1,99.5,Advanced
adv14/repo14,https://github.com/adv14/repo14,28000,22400,280,80,105,460,46,1.0,4,0.0,0.3,560,99.0,0,95.0,1,99.5,Advanced
adv15/repo15,https://github.com/adv15/repo15,29000,23200,290,85,110,480,48,1.0,3,0.0,0.3,580,99.0,0,95.0,1,99.5,Advanced
adv16/repo16,https://github.com/adv16/repo16,30000,24000,300,88,115,500,50,1.0,3,0.0,0.3,600,99.0,0,95.0,1,99.5,Advanced
adv17/repo17,https://github.com/adv17/repo17,31000,24800,310,90,120,520,52,1.0,2,0.0,0.3,620,99.0,0,95.0,1,99.5,Advanced
int4/repo4,https://github.com/int4/repo4,8000,6200,80,22,16,80,8,1.6,22,6.5,0.42,160,72.0,1,58.0,1200,71.0,Intermediate
int6/repo6,https://github.com/int6/repo6,10000,7800,100,28,20,100,10,1.4,18,5.5,0.42,200,78.0,1,62.0,1800,73.0,Intermediate
